אפיק השקעה	מס מסלול	שם מסלול אחיד	שם חברה	חברה מקוצר	סוג חיסכון	סוג קופה	סוג מסלול	ח.פ	שנה	רבעון	תרומה	משקל	תשואה
מזומנים ושווי מזומנים	13303	מנורה מבטחים פנסיה יעד לפרישה 2065	מנורה מבטחים פנסיה וגמל	מנורה	פנסיה	גילאי 50 ומטה	פנסיה מקיפה	512245812	2024	1	0.001654964	0.130388324	0.012692577
מזומנים ושווי מזומנים	13303	מנורה מבטחים פנסיה יעד לפרישה 2065	מנורה מבטחים פנסיה וגמל	מנורה	פנסיה	גילאי 50 ומטה	פנסיה מקיפה	512245812	2024	2	0.003304562	0.126484078	0.02612631
מזומנים ושווי מזומנים	13303	מנורה מבטחים פנסיה יעד לפרישה 2065	מנורה מבטחים פנסיה וגמל	מנורה	פנסיה	גילאי 50 ומטה	פנסיה מקיפה	512245812	2024	3	0.00442821	0.122165637	0.036247592
מזומנים ושווי מזומנים	13303	מנורה מבטחים פנסיה יעד לפרישה 2065	מנורה מבטחים פנסיה וגמל	מנורה	פנסיה	גילאי 50 ומטה	פנסיה מקיפה	512245812	2024	4	0.008565712	0.117526266	0.072883383
אגרות חוב ממשלתיות	13303	מנורה מבטחים פנסיה יעד לפרישה 2065	מנורה מבטחים פנסיה וגמל	מנורה	פנסיה	גילאי 50 ומטה	פנסיה מקיפה	512245812	2024	1	0.003674434	0.296467849	0.012394039
אגרות חוב ממשלתיות	13303	מנורה מבטחים פנסיה יעד לפרישה 2065	מנורה מבטחים פנסיה וגמל	מנורה	פנסיה	גילאי 50 ומטה	פנסיה מקיפה	512245812	2024	2	0.010988727	0.295432621	0.037195374
אגרות חוב ממשלתיות	13303	מנורה מבטחים פנסיה יעד לפרישה 2065	מנורה מבטחים פנסיה וגמל	מנורה	פנסיה	גילאי 50 ומטה	פנסיה מקיפה	512245812	2024	3	0.019779996	0.294977221	0.067056012
אגרות חוב ממשלתיות	13303	מנורה מבטחים פנסיה יעד לפרישה 2065	מנורה מבטחים פנסיה וגמל	מנורה	פנסיה	גילאי 50 ומטה	פנסיה מקיפה	512245812	2024	4	0.023234778	0.293892526	0.079058757
אגרות חוב קונצרניות	13303	מנורה מבטחים פנסיה יעד לפרישה 2065	מנורה מבטחים פנסיה וגמל	מנורה	פנסיה	גילאי 50 ומטה	פנסיה מקיפה	512245812	2024	1	0.001422118	0.072316251	0.019665255
אגרות חוב קונצרניות	13303	מנורה מבטחים פנסיה יעד לפרישה 2065	מנורה מבטחים פנסיה וגמל	מנורה	פנסיה	גילאי 50 ומטה	פנסיה מקיפה	512245812	2024	2	0.001783069	0.072786698	0.024497187
אגרות חוב קונצרניות	13303	מנורה מבטחים פנסיה יעד לפרישה 2065	מנורה מבטחים פנסיה וגמל	מנורה	פנסיה	גילאי 50 ומטה	פנסיה מקיפה	512245812	2024	3	0.004203726	0.072127745	0.058281671
אגרות חוב קונצרניות	13303	מנורה מבטחים פנסיה יעד לפרישה 2065	מנורה מבטחים פנסיה וגמל	מנורה	פנסיה	גילאי 50 ומטה	פנסיה מקיפה	512245812	2024	4	0.005271049	0.072410909	0.072793574
אגרות חוב קונצרניות	13303	מנורה מבטחים פנסיה יעד לפרישה 2065	מנורה מבטחים פנסיה וגמל	מנורה	פנסיה	גילאי 50 ומטה	פנסיה מקיפה	512245812	2024	1	2.99E-05	0.001905492	0.015665581
אגרות חוב קונצרניות	13303	מנורה מבטחים פנסיה יעד לפרישה 2065	מנורה מבטחים פנסיה וגמל	מנורה	פנסיה	גילאי 50 ומטה	פנסיה מקיפה	512245812	2024	2	1.08E-05	0.001992935	0.005418181
אגרות חוב קונצרניות	13303	מנורה מבטחים פנסיה יעד לפרישה 2065	מנורה מבטחים פנסיה וגמל	מנורה	פנסיה	גילאי 50 ומטה	פנסיה מקיפה	512245812	2024	3	7.39E-05	0.002069135	0.035698932
אגרות חוב קונצרניות	13303	מנורה מבטחים פנסיה יעד לפרישה 2065	מנורה מבטחים פנסיה וגמל	מנורה	פנסיה	גילאי 50 ומטה	פנסיה מקיפה	512245812	2024	4	0.000132865	0.002062916	0.064406413
מניות	13303	מנורה מבטחים פנסיה יעד לפרישה 2065	מנורה מבטחים פנסיה וגמל	מנורה	פנסיה	גילאי 50 ומטה	פנסיה מקיפה	512245812	2024	1	0.032839956	0.340133878	0.096550089
מניות	13303	מנורה מבטחים פנסיה יעד לפרישה 2065	מנורה מבטחים פנסיה וגמל	מנורה	פנסיה	גילאי 50 ומטה	פנסיה מקיפה	512245812	2024	2	0.037155187	0.341088205	0.108931315
מניות	13303	מנורה מבטחים פנסיה יעד לפרישה 2065	מנורה מבטחים פנסיה וגמל	מנורה	פנסיה	גילאי 50 ומטה	פנסיה מקיפה	512245812	2024	3	0.05983985	0.343188198	0.174364532
מניות	13303	מנורה מבטחים פנסיה יעד לפרישה 2065	מנורה מבטחים פנסיה וגמל	מנורה	פנסיה	גילאי 50 ומטה	פנסיה מקיפה	512245812	2024	4	0.084055494	0.344193933	0.24420969
קרנות סל	13303	מנורה מבטחים פנסיה יעד לפרישה 2065	מנורה מבטחים פנסיה וגמל	מנורה	פנסיה	גילאי 50 ומטה	פנסיה מקיפה	512245812	2024	1	0.005452121	0.079977683	0.06817053
קרנות סל	13303	מנורה מבטחים פנסיה יעד לפרישה 2065	מנורה מבטחים פנסיה וגמל	מנורה	פנסיה	גילאי 50 ומטה	פנסיה מקיפה	512245812	2024	2	0.005754142	0.081313272	0.070765097
קרנות סל	13303	מנורה מבטחים פנסיה יעד לפרישה 2065	מנורה מבטחים פנסיה וגמל	מנורה	פנסיה	גילאי 50 ומטה	פנסיה מקיפה	512245812	2024	3	0.011137998	0.08204178	0.135760077
קרנות סל	13303	מנורה מבטחים פנסיה יעד לפרישה 2065	מנורה מבטחים פנסיה וגמל	מנורה	פנסיה	גילאי 50 ומטה	פנסיה מקיפה	512245812	2024	4	0.007619594	0.085771043	0.08883644
קרנות נאמנות	13303	מנורה מבטחים פנסיה יעד לפרישה 2065	מנורה מבטחים פנסיה וגמל	מנורה	פנסיה	גילאי 50 ומטה	פנסיה מקיפה	512245812	2024	1	0.001593292	0.028818722	0.055286698
קרנות נאמנות	13303	מנורה מבטחים פנסיה יעד לפרישה 2065	מנורה מבטחים פנסיה וגמל	מנורה	פנסיה	גילאי 50 ומטה	פנסיה מקיפה	512245812	2024	2	0.002510569	0.028766673	0.08727351
קרנות נאמנות	13303	מנורה מבטחים פנסיה יעד לפרישה 2065	מנורה מבטחים פנסיה וגמל	מנורה	פנסיה	גילאי 50 ומטה	פנסיה מקיפה	512245812	2024	3	0.003921179	0.028156121	0.139265583
קרנות נאמנות	13303	מנורה מבטחים פנסיה יעד לפרישה 2065	מנורה מבטחים פנסיה וגמל	מנורה	פנסיה	גילאי 50 ומטה	פנסיה מקיפה	512245812	2024	4	0.002135557	0.027291289	0.078250492
קרנות השקעה	13303	מנורה מבטחים פנסיה יעד לפרישה 2065	מנורה מבטחים פנסיה וגמל	מנורה	פנסיה	גילאי 50 ומטה	פנסיה מקיפה	512245812	2024	1	-1.61E-05	0.017266369	-0.000933244
קרנות השקעה	13303	מנורה מבטחים פנסיה יעד לפרישה 2065	מנורה מבטחים פנסיה וגמל	מנורה	פנסיה	גילאי 50 ומטה	פנסיה מקיפה	512245812	2024	2	0.001176319	0.018622624	0.063166121
קרנות השקעה	13303	מנורה מבטחים פנסיה יעד לפרישה 2065	מנורה מבטחים פנסיה וגמל	מנורה	פנסיה	גילאי 50 ומטה	פנסיה מקיפה	512245812	2024	3	0.001757887	0.020686137	0.08497898
קרנות השקעה	13303	מנורה מבטחים פנסיה יעד לפרישה 2065	מנורה מבטחים פנסיה וגמל	מנורה	פנסיה	גילאי 50 ומטה	פנסיה מקיפה	512245812	2024	4	0.000653245	0.022209885	0.029412368
כתבי אופציה	13303	מנורה מבטחים פנסיה יעד לפרישה 2065	מנורה מבטחים פנסיה וגמל	מנורה	פנסיה	גילאי 50 ומטה	פנסיה מקיפה	512245812	2024	1	1.67E-05	1.34E-05	1.244086602
כתבי אופציה	13303	מנורה מבטחים פנסיה יעד לפרישה 2065	מנורה מבטחים פנסיה וגמל	מנורה	פנסיה	גילאי 50 ומטה	פנסיה מקיפה	512245812	2024	2	3.61E-05	3.53E-05	1.02236253
כתבי אופציה	13303	מנורה מבטחים פנסיה יעד לפרישה 2065	מנורה מבטחים פנסיה וגמל	מנורה	פנסיה	גילאי 50 ומטה	פנסיה מקיפה	512245812	2024	3	6.52E-05	3.62E-05	1.802154942
כתבי אופציה	13303	מנורה מבטחים פנסיה יעד לפרישה 2065	מנורה מבטחים פנסיה וגמל	מנורה	פנסיה	גילאי 50 ומטה	פנסיה מקיפה	512245812	2024	4	7.64E-05	3.16E-05	2.415968715
חוזים עתידיים	13303	מנורה מבטחים פנסיה יעד לפרישה 2065	מנורה מבטחים פנסיה וגמל	מנורה	פנסיה	גילאי 50 ומטה	פנסיה מקיפה	512245812	2024	1	0.006799384	0.002849877	2.385851554
חוזים עתידיים	13303	מנורה מבטחים פנסיה יעד לפרישה 2065	מנורה מבטחים פנסיה וגמל	מנורה	פנסיה	גילאי 50 ומטה	פנסיה מקיפה	512245812	2024	2	0.00373122	0.001326719	2.812366564
חוזים עתידיים	13303	מנורה מבטחים פנסיה יעד לפרישה 2065	מנורה מבטחים פנסיה וגמל	מנורה	פנסיה	גילאי 50 ומטה	פנסיה מקיפה	512245812	2024	3	0.007487291	-0.000165898	-45.13195346
חוזים עתידיים	13303	מנורה מבטחים פנסיה יעד לפרישה 2065	מנורה מבטחים פנסיה וגמל	מנורה	פנסיה	גילאי 50 ומטה	פנסיה מקיפה	512245812	2024	4	0.011521123	0.000270022	42.66741426
אופציות	13303	מנורה מבטחים פנסיה יעד לפרישה 2065	מנורה מבטחים פנסיה וגמל	מנורה	פנסיה	גילאי 50 ומטה	פנסיה מקיפה	512245812	2024	1	-3.76E-05	0.000531366	-0.070681922
אופציות	13303	מנורה מבטחים פנסיה יעד לפרישה 2065	מנורה מבטחים פנסיה וגמל	מנורה	פנסיה	גילאי 50 ומטה	פנסיה מקיפה	512245812	2024	2	-0.000293579	0.00059995	-0.489338348
אופציות	13303	מנורה מבטחים פנסיה יעד לפרישה 2065	מנורה מבטחים פנסיה וגמל	מנורה	פנסיה	גילאי 50 ומטה	פנסיה מקיפה	512245812	2024	3	-0.00042468	0.000583396	-0.727943804
אופציות	13303	מנורה מבטחים פנסיה יעד לפרישה 2065	מנורה מבטחים פנסיה וגמל	מנורה	פנסיה	גילאי 50 ומטה	פנסיה מקיפה	512245812	2024	4	3.88E-05	0.000598251	0.064801552
מוצרים מובנים	13303	מנורה מבטחים פנסיה יעד לפרישה 2065	מנורה מבטחים פנסיה וגמל	מנורה	פנסיה	גילאי 50 ומטה	פנסיה מקיפה	512245812	2024	1	0.000155996	0.004844787	0.032198786
מוצרים מובנים	13303	מנורה מבטחים פנסיה יעד לפרישה 2065	מנורה מבטחים פנסיה וגמל	מנורה	פנסיה	גילאי 50 ומטה	פנסיה מקיפה	512245812	2024	2	0.000334183	0.0045395	0.073616678
מוצרים מובנים	13303	מנורה מבטחים פנסיה יעד לפרישה 2065	מנורה מבטחים פנסיה וגמל	מנורה	פנסיה	גילאי 50 ומטה	פנסיה מקיפה	512245812	2024	3	0.000404488	0.004343376	0.093127646
מוצרים מובנים	13303	מנורה מבטחים פנסיה יעד לפרישה 2065	מנורה מבטחים פנסיה וגמל	מנורה	פנסיה	גילאי 50 ומטה	פנסיה מקיפה	512245812	2024	4	0.000257965	0.004184761	0.061643841
הלוואות	13303	מנורה מבטחים פנסיה יעד לפרישה 2065	מנורה מבטחים פנסיה וגמל	מנורה	פנסיה	גילאי 50 ומטה	פנסיה מקיפה	512245812	2024	1	0.000773273	0.024878856	0.031081532
הלוואות	13303	מנורה מבטחים פנסיה יעד לפרישה 2065	מנורה מבטחים פנסיה וגמל	מנורה	פנסיה	גילאי 50 ומטה	פנסיה מקיפה	512245812	2024	2	0.001103088	0.026561262	0.041529967
הלוואות	13303	מנורה מבטחים פנסיה יעד לפרישה 2065	מנורה מבטחים פנסיה וגמל	מנורה	פנסיה	גילאי 50 ומטה	פנסיה מקיפה	512245812	2024	3	0.002085956	0.027903349	0.074756478
הלוואות	13303	מנורה מבטחים פנסיה יעד לפרישה 2065	מנורה מבטחים פנסיה וגמל	מנורה	פנסיה	גילאי 50 ומטה	פנסיה מקיפה	512245812	2024	4	0.002578823	0.027786288	0.092809208
"נדל""ן"	13303	מנורה מבטחים פנסיה יעד לפרישה 2065	מנורה מבטחים פנסיה וגמל	מנורה	פנסיה	גילאי 50 ומטה	פנסיה מקיפה	512245812	2024	1	0	0	
"נדל""ן"	13303	מנורה מבטחים פנסיה יעד לפרישה 2065	מנורה מבטחים פנסיה וגמל	מנורה	פנסיה	גילאי 50 ומטה	פנסיה מקיפה	512245812	2024	2	0	0	
"נדל""ן"	13303	מנורה מבטחים פנסיה יעד לפרישה 2065	מנורה מבטחים פנסיה וגמל	מנורה	פנסיה	גילאי 50 ומטה	פנסיה מקיפה	512245812	2024	3	0	0	
"נדל""ן"	13303	מנורה מבטחים פנסיה יעד לפרישה 2065	מנורה מבטחים פנסיה וגמל	מנורה	פנסיה	גילאי 50 ומטה	פנסיה מקיפה	512245812	2024	4	0	0.000335018	0
השקעות אחרות	13303	מנורה מבטחים פנסיה יעד לפרישה 2065	מנורה מבטחים פנסיה וגמל	מנורה	פנסיה	גילאי 50 ומטה	פנסיה מקיפה	512245812	2024	1	-0.00017521	-0.000392905	0.445935724
השקעות אחרות	13303	מנורה מבטחים פנסיה יעד לפרישה 2065	מנורה מבטחים פנסיה וגמל	מנורה	פנסיה	גילאי 50 ומטה	פנסיה מקיפה	512245812	2024	2	-0.000258047	0.000450118	-0.57328771
